Sample,Cache (cycles),DRAM (cycles)
7265,59,378
7266,65,376
7267,57,441
7268,77,388
7269,69,469
7270,65,443
7271,61,445
7272,57,362
7273,57,1004
7274,51,366
7275,61,376
7276,70,372
7277,57,863
7278,57,376
7279,53,382
7280,59,364
7281,53,380
7282,67,376
7283,57,382
7284,55,496
7285,73,1053
7286,61,372
7287,71,471
7288,57,384
7289,76,370
7290,57,382
7291,55,419
7292,57,489
7293,61,1093
7294,55,380
7295,63,402
7296,65,397
7297,57,476
7298,55,370
7299,56,422
7300,57,779
7301,61,396
7302,57,370
7303,63,368
7304,60,364
7305,63,388
7306,67,400
7307,61,370
7308,55,421
7309,65,1176
7310,67,380
7311,77,368
7312,69,372
7313,53,368
7314,71,376
7315,53,362
7316,55,2729
7317,55,1247
7318,59,376
7319,59,370
7320,65,1078
7321,57,409
7322,59,356
7323,70,366
7324,59,375
7325,63,657
7326,55,390
7327,51,370
7328,63,965
7329,65,418
7330,56,368
7331,63,365
7332,61,402
7333,74,378
7334,57,487
7335,63,953
7336,65,370
7337,61,414
7338,63,404
7339,55,418
7340,59,378
7341,61,374
7342,57,366
7343,59,402
7344,63,389
7345,60,370
7346,61,368
7347,63,374
7348,63,360
7349,67,366
7350,65,374
7351,73,378
7352,61,374
7353,67,360
7354,61,392
7355,59,370
7356,59,364
7357,55,408
7358,56,1066
7359,66,368
7360,61,364
7361,61,407
7362,65,380
7363,55,376
7364,55,421
7365,61,1073
7366,57,364
7367,55,370
7368,55,372
7369,57,383
7370,61,368
7371,57,413
7372,59,421
7373,55,376
7374,55,1366
7375,57,384
7376,55,366
7377,55,380
7378,60,366
7379,63,513
7380,57,421
7381,56,892
7382,55,411
7383,55,403
7384,65,368
7385,55,412
7386,61,382
7387,57,410
7388,59,1200
7389,57,462
7390,53,382
7391,59,372
7392,59,514
7393,59,419
7394,65,372
7395,57,474
7396,65,373
7397,66,939
7398,59,368
7399,61,417
7400,57,402
7401,61,388
7402,57,443
7403,57,630
7404,59,439
7405,57,494
7406,61,411
7407,55,685
7408,59,433
7409,57,391
7410,59,382
7411,57,372
7412,59,498
7413,55,380
7414,63,399
7415,55,425
7416,57,512
7417,59,472
7418,57,380
7419,65,57
7420,563,376
7421,57,606
7422,57,438
7423,59,398
7424,56,451
7425,59,434
7426,59,640
7427,59,2941
7428,55,1199
7429,56,363
7430,54,412
7431,56,433
7432,57,455
7433,57,1112
7434,55,447
7435,71,1213
7436,53,368
7437,69,947
7438,61,408
7439,61,1112
7440,71,370
7441,57,386
7442,57,483
7443,55,492
7444,55,475
7445,71,355
7446,79,1329
7447,67,402
7448,55,433
7449,55,378
7450,53,838
7451,59,370
7452,77,538
7453,59,414
7454,55,480
7455,58,400
7456,55,391
7457,55,372
7458,63,644
7459,54,407
7460,55,380
7461,51,378
7462,63,414
7463,61,407
7464,63,374
7465,57,370
7466,54,483
7467,57,947
7468,55,1203
7469,53,380
7470,53,415
7471,55,422
7472,65,360
7473,58,447
7474,54,1077
7475,53,433
7476,61,374
7477,61,369
7478,53,391
7479,55,415
7480,61,386
7481,69,372
7482,57,547
7483,73,380
7484,59,456
7485,54,428
7486,55,429
7487,58,382
7488,57,414
7489,63,484
7490,71,370
7491,55,372
7492,56,367
7493,57,681
7494,55,368
7495,56,1077
7496,61,369
7497,55,428
7498,63,439
7499,57,425
7500,63,380
7501,55,370
7502,61,457
7503,57,650
7504,59,380
7505,57,398
7506,61,395
7507,55,414
7508,55,370
7509,55,423
7510,57,411
7511,57,827
7512,57,405
7513,70,518
7514,61,390
7515,55,420
7516,61,366
7517,65,378
7518,63,1093
7519,61,366
7520,61,412
7521,69,415
7522,55,418
7523,57,372
7524,55,596
7525,61,1173
7526,67,366
7527,63,358
7528,55,382
7529,57,420
7530,59,411
7531,59,413
7532,57,405
7533,57,604
7534,55,414
7535,57,518
7536,58,398
7537,61,918
7538,59,380
7539,61,2412
7540,57,1300
7541,63,364
7542,69,567
7543,59,388
7544,69,384
7545,71,364
7546,73,413
7547,55,370
7548,61,389
7549,63,413
7550,59,370
7551,55,530
7552,55,425
7553,61,474
7554,60,441
7555,57,612
7556,57,492
7557,54,415
7558,57,411
7559,57,382
7560,57,507
7561,54,556
7562,57,452
7563,55,1049
7564,57,409
7565,57,407
7566,57,410
7567,55,414
7568,55,370
7569,55,456
7570,63,453
7571,53,401
7572,53,1220
7573,59,504
7574,67,648
7575,55,376
7576,57,450
7577,57,864
7578,67,421
7579,59,1006
7580,63,389
7581,79,402
7582,57,425
7583,57,476
7584,57,374
7585,53,484
7586,57,378
7587,51,427
7588,75,362
7589,59,489
7590,57,392
7591,71,410
7592,65,1273
7593,57,422
7594,67,370
7595,61,445
7596,61,376
7597,61,410
7598,61,376
7599,57,673
7600,54,428
7601,61,380
7602,69,366
7603,54,374
7604,57,453
7605,59,372
7606,67,414
7607,56,703
7608,63,380
7609,55,376
7610,55,360
7611,57,392
7612,57,384
7613,57,414
7614,73,378
7615,59,1171
7616,59,419
7617,66,376
7618,57,500
7619,69,479
7620,71,378
7621,59,423
7622,59,388
7623,55,369
7624,59,365
7625,69,466
7626,65,1156
7627,67,372
7628,59,403
7629,53,407
7630,55,786
7631,63,403
7632,71,431
7633,65,378
7634,56,435
7635,63,402
7636,55,433
7637,57,376
7638,63,1063
7639,63,370
7640,55,382
7641,59,378
7642,58,487
7643,59,406
7644,63,368
7645,57,365
7646,58,953
7647,71,416
7648,59,433
7649,63,366
7650,67,399
7651,69,473
7652,59,632
7653,65,397
7654,63,409
7655,59,470
7656,57,437
7657,69,378
7658,65,393
7659,61,376
7660,57,658
7661,61,376
7662,59,532
7663,73,481
7664,57,382
7665,53,378
7666,65,384
7667,61,416
7668,57,1396
7669,59,374
7670,57,376
7671,55,376
7672,55,386
7673,57,368
7674,61,412
7675,57,367
7676,57,622
7677,55,368
7678,63,398
7679,57,395
7680,66,404
7681,67,416
7682,57,368
7683,57,408
7684,59,620
7685,57,447
7686,73,368
7687,59,481
7688,59,370
7689,57,388
7690,61,435
7691,69,360
7692,71,367
7693,59,868
7694,53,372
7695,63,499
7696,67,375
7697,65,478
7698,57,419
7699,57,665
7700,67,370
7701,54,443
7702,53,378
7703,73,461
7704,67,380
7705,55,378
7706,59,417
7707,55,876
7708,59,378
7709,55,445
7710,59,372
7711,57,416
7712,69,378
7713,55,826
7714,63,403
7715,57,461
7716,55,378
7717,71,378
7718,67,446
7719,75,512
7720,57,1303
7721,51,376
7722,61,420
7723,61,565
7724,73,439
7725,67,374
7726,55,392
7727,57,368
7728,57,1087
7729,57,378
7730,69,409
7731,65,364
7732,75,390
7733,57,378
7734,67,370
7735,70,947
7736,67,406
7737,61,392
7738,61,415
7739,65,424
7740,94,362
7741,73,374
7742,86,422
7743,93,402
7744,65,380
7745,55,417
7746,58,372
7747,61,427
7748,69,418
7749,57,382
7750,63,411
7751,65,425
7752,53,414
7753,59,408
7754,57,500
7755,55,388
7756,57,1122
7757,55,401
7758,69,469
7759,57,660
7760,71,388
7761,66,378
7762,59,420
7763,57,378
7764,57,455
7765,67,444
7766,67,519
7767,55,431
7768,57,402
7769,58,455
7770,57,782
7771,63,416
7772,63,374
7773,55,878
7774,57,372
7775,65,423
7776,61,376
7777,61,366
7778,57,368
7779,53,480
7780,67,443
7781,57,406
7782,53,419
7783,57,384
7784,57,533
7785,57,396
7786,71,392
7787,65,514
7788,57,402
7789,65,478
7790,57,413
7791,61,402
7792,59,476
7793,68,429
7794,67,364
7795,63,447
7796,73,1130
7797,63,414
7798,63,451
7799,59,396
7800,59,646
7801,63,427
7802,65,472
7803,57,806
7804,59,412
7805,59,457
7806,59,411
7807,63,462
7808,65,383
7809,59,471
7810,57,1205
7811,59,360
7812,53,437
7813,65,374
7814,61,406
7815,63,362
7816,67,394
7817,63,398
7818,57,896
7819,57,372
7820,79,374
7821,59,372
7822,61,367
7823,57,454
7824,69,372
7825,73,408
7826,57,808
7827,57,571
7828,65,376
7829,59,449
7830,61,407
7831,57,369
7832,63,1386
7833,73,415
7834,83,366
7835,71,374
7836,61,372
7837,71,360
7838,71,408
7839,63,404
7840,61,369
7841,57,699
7842,54,386
7843,65,374
7844,57,456
7845,57,400
7846,56,483
7847,69,368
7848,69,399
7849,71,384
7850,59,378
7851,57,394
7852,63,1315
7853,67,364
7854,59,502
7855,59,791
7856,57,366
7857,59,384
7858,57,399
7859,63,372
7860,65,367
7861,63,431
7862,57,374
7863,59,807
7864,61,384
7865,57,439
7866,57,514
7867,55,368
7868,57,508
7869,71,460
7870,61,387
7871,57,996
7872,57,364
7873,55,490
7874,57,370
7875,63,365
7876,57,372
7877,65,1297
7878,61,400
7879,65,380
7880,61,372
7881,59,410
7882,60,453
7883,57,457
7884,55,386
7885,63,1120
7886,63,435
7887,61,384
7888,61,366
7889,57,372
7890,59,381
7891,69,482
7892,55,488
7893,61,376
7894,61,441
7895,57,366
7896,71,813
7897,65,384
7898,59,407
7899,61,410
7900,57,376
7901,57,375
7902,53,378
7903,67,374
7904,61,376
7905,61,409
7906,55,368
7907,63,1270
7908,57,382
7909,69,445
7910,57,406
7911,56,477
7912,65,388
7913,59,370
7914,63,357
7915,57,478
7916,63,407
7917,65,433
7918,66,417
7919,67,947
7920,57,429
7921,57,415
7922,56,471
7923,65,392
7924,65,402
7925,59,436
7926,63,413
7927,60,414
7928,71,376
7929,59,366
7930,57,362
7931,57,559
7932,57,470
7933,61,429
7934,55,380
7935,57,1149
7936,51,366
7937,55,573
7938,67,396
7939,58,408
7940,63,384
7941,57,422
7942,59,426
7943,57,699
7944,53,372
7945,55,420
7946,55,437
7947,57,392
7948,59,378
7949,61,380
7950,71,451
7951,57,433
7952,61,409
7953,73,372
7954,57,376
7955,61,490
7956,55,362
7957,55,958
7958,57,413
7959,55,451
7960,57,643
7961,57,382
7962,55,370
7963,56,369
7964,69,407
7965,61,1323
7966,55,376
7967,71,403
7968,61,376
7969,61,378
7970,61,372
7971,57,502
7972,67,368
7973,65,437
7974,59,372
7975,51,758
7976,59,382
7977,53,374
7978,57,382
7979,57,404
7980,57,386
7981,56,426
7982,71,362
7983,57,406
7984,59,372
7985,59,953
7986,57,380
7987,57,370
7988,57,451
7989,59,407
7990,59,378
7991,57,912
7992,65,382
7993,57,384
7994,65,453
7995,59,396
7996,61,374
7997,58,412
7998,69,382
7999,55,416
8000,55,1010
8001,61,467
8002,55,366
8003,59,489
8004,57,380
8005,59,974
8006,61,486
8007,55,374
8008,57,458
8009,59,486
8010,51,418
8011,61,417
8012,57,896
8013,58,473
8014,59,323
8015,69,488
8016,55,400
8017,57,364
8018,61,366
8019,71,364
8020,55,552
8021,65,362
8022,65,370
8023,59,360
8024,57,378
8025,61,443
8026,57,386
8027,56,551
8028,69,370
8029,57,464
8030,57,409
8031,69,375
8032,53,409
8033,57,372
8034,63,412
8035,57,918
8036,65,466
8037,61,409
8038,63,477
8039,61,431
8040,71,374
8041,72,366
8042,55,1033
8043,57,370
8044,61,380
8045,57,401
8046,69,384
8047,51,384
8048,58,481
8049,55,372
8050,59,760
8051,57,366
8052,55,380
8053,53,360
8054,57,374
8055,61,418
8056,69,376
8057,61,415
8058,51,864
8059,69,357
8060,61,418
8061,59,417
8062,55,421
8063,53,415
8064,65,412
8065,65,380
8066,53,991
8067,57,374
8068,57,378
8069,57,457
8070,55,412
8071,56,372
8072,57,441
8073,53,482
8074,65,427
8075,57,368
8076,55,414
8077,61,516
8078,65,490
8079,53,1033
8080,61,508
8081,57,366
8082,57,416
8083,57,386
8084,57,408
8085,69,400
8086,59,410
8087,57,490
8088,57,363
8089,63,445
8090,55,390
8091,70,378
8092,63,408
8093,65,409
8094,57,394
8095,55,410
8096,63,451
8097,59,374
8098,57,758
8099,55,1172
8100,57,453
8101,61,358
8102,57,376
8103,55,412
8104,57,1098
8105,55,490
8106,58,422
8107,59,413
8108,83,405
8109,59,419
8110,57,376
8111,55,1124
8112,60,421
8113,59,417
8114,73,412
8115,59,376
8116,59,380
8117,61,384
8118,57,386
8119,59,642
8120,69,370
8121,67,370
8122,67,372
8123,69,364
8124,65,431
8125,57,407
8126,59,407
8127,54,1264
8128,54,369
8129,57,374
8130,55,399
8131,67,396
8132,57,368
8133,71,607
8134,57,874
8135,55,466
8136,67,424
8137,58,435
8138,61,376
8139,65,378
8140,57,380
8141,55,374
8142,59,488
8143,69,372
8144,57,413
8145,71,380
8146,57,378
8147,63,364
8148,73,372
8149,73,366
8150,59,417
8151,59,754
8152,76,496
8153,59,366
8154,57,410
8155,61,394
8156,57,429
8157,55,1306
8158,61,367
8159,57,446
8160,65,408
8161,71,380
8162,69,370
8163,59,387
8164,69,406
8165,66,1051
8166,59,502
8167,67,368
8168,67,490
8169,65,418
8170,71,419
8171,69,372
8172,57,917
8173,57,378
8174,57,378
8175,59,415
8176,69,374
8177,69,370
8178,61,378
8179,55,479
8180,67,374
8181,55,961
8182,56,373
8183,57,372
8184,69,370
8185,59,402
8186,57,415
8187,57,376
8188,57,784
8189,55,454
8190,57,462
8191,59,374
8192,66,431
8193,56,371
8194,55,418
8195,55,405
8196,61,807
8197,57,359
8198,69,363
8199,58,441
8200,55,376
8201,61,382
8202,55,370
8203,55,408
8204,55,360
8205,67,929
8206,53,380
8207,57,407
8208,53,385
8209,55,512
8210,55,391
8211,57,500
8212,55,402
8213,59,494
8214,65,380
8215,59,371
8216,57,374
8217,67,395
8218,57,405
8219,57,480
8220,59,378
8221,58,402
8222,57,490
8223,55,393
8224,55,378
8225,57,734
8226,55,1244
8227,58,420
8228,73,677
8229,59,376
8230,55,424
8231,57,420
8232,55,409
8233,57,419
8234,59,427
8235,57,386
8236,55,445
8237,55,392
8238,59,494
8239,63,771
8240,67,419
8241,59,419
8242,55,657
8243,53,1219
8244,75,439
8245,63,376
8246,55,410
8247,59,411
8248,61,512
8249,67,421
8250,65,407
8251,57,435
8252,61,421
8253,63,415
8254,63,378
8255,55,916
8256,57,415
8257,59,383
8258,65,471
8259,57,1333
8260,80,409
8261,59,376
8262,57,382
8263,57,372
8264,57,380
8265,61,414
8266,59,374
8267,59,524
8268,65,372
8269,61,373
8270,65,400
8271,59,378
8272,59,363
8273,53,462
8274,53,376
8275,59,410
8276,57,1143
8277,57,1222
8278,53,415
8279,57,365
8280,57,368
8281,61,390
8282,57,401
8283,57,423
8284,57,374
8285,56,908
8286,55,409
8287,76,399
8288,57,378
8289,55,380
8290,55,418
8291,53,374
8292,57,423
8293,59,409
8294,61,1087
8295,53,376
8296,61,420
8297,63,441
8298,55,416
8299,61,392
8300,61,382
8301,63,502
8302,58,408
8303,58,483
8304,52,408
8305,61,1160
8306,69,374
8307,71,409
8308,69,1179
8309,55,382
8310,66,374
8311,67,408
8312,70,443
8313,57,378
8314,54,479
8315,69,374
8316,55,374
8317,57,370
8318,67,429
8319,55,405
8320,65,1118
8321,71,367
8322,69,366
8323,63,374
8324,67,449
8325,56,416
8326,57,370
8327,55,402
8328,53,693
8329,71,363
8330,71,454
8331,57,374
8332,63,365
8333,65,403
8334,67,380
8335,55,376
8336,65,719
8337,55,403
8338,63,374
8339,69,475
8340,61,439
8341,61,410
8342,69,423
8343,65,397
8344,59,1179
8345,70,374
8346,67,367
8347,56,374
8348,61,360
8349,63,406
8350,53,400
8351,61,399
8352,59,429
8353,57,1382
8354,61,362
8355,63,366
8356,69,415
8357,55,370
8358,59,378
8359,57,844
8360,55,448
8361,57,412
8362,57,484
8363,56,400
8364,56,496
8365,66,410
8366,67,817
8367,55,414
8368,59,370
8369,63,411
8370,65,368
8371,51,474
8372,59,378
8373,57,488
8374,81,931
8375,59,364
8376,57,386
8377,67,374
8378,55,403
8379,59,378
8380,63,518
8381,61,395
8382,61,541
8383,63,409
8384,61,420
8385,69,687
8386,69,425
8387,61,409
8388,53,484
8389,55,406
8390,55,426
8391,54,376
8392,58,378
8393,65,372
8394,57,521
8395,58,380
8396,57,449
8397,59,406
8398,85,444
8399,55,433
8400,65,425
8401,57,425
8402,56,402
8403,55,372
8404,67,868
8405,57,439
8406,55,384
8407,60,384
8408,60,368
8409,55,612
8410,57,484
8411,57,3166
8412,57,456
8413,55,388
8414,57,1030
8415,57,1281
8416,51,1215
8417,55,427
8418,56,402
8419,63,1972
8420,55,431
8421,57,423
8422,59,1095
8423,53,1004
8424,59,936
8425,55,423
8426,55,449
8427,58,406
8428,58,447
8429,57,2126
8430,55,611
8431,65,393
8432,67,404
8433,67,364
8434,67,413
8435,55,397
8436,55,390
8437,56,381
8438,67,510
8439,69,374
8440,55,372
8441,73,401
8442,57,459
8443,63,904
8444,56,867
8445,55,362
8446,55,380
8447,67,372
8448,55,1061
8449,59,404
8450,73,374
8451,63,359
8452,65,376
8453,61,378
8454,73,392
8455,73,473
8456,63,1264
8457,55,409
8458,57,390
8459,63,443
8460,59,390
8461,55,405
8462,56,888
8463,61,371
8464,59,412
8465,75,371
8466,55,370
8467,59,361
8468,63,368
8469,67,374
8470,57,1248
8471,57,473
8472,67,409
8473,61,417
8474,77,357
8475,59,424
8476,61,1071
8477,56,380
8478,69,413
8479,61,362
8480,69,374
8481,65,380
8482,69,368
8483,57,413
8484,57,376
8485,65,409
8486,53,376
8487,71,435
8488,53,372
8489,53,797
8490,67,382
8491,55,415
8492,55,449
8493,69,400
8494,65,390
8495,69,402
8496,59,371
8497,57,374
8498,57,760
8499,67,391
8500,77,378
8501,67,374
8502,54,369
8503,65,358
8504,77,365
8505,61,370
8506,69,364
8507,63,389
8508,65,362
8509,65,372
8510,56,420
8511,61,368
8512,65,378
8513,57,364
8514,53,388
8515,71,380
8516,63,369
8517,55,413
8518,57,380
8519,54,378
8520,63,372
8521,60,372
8522,69,364
8523,57,374
8524,69,376
8525,55,392
8526,56,424
8527,67,417
8528,69,482
8529,69,418
8530,69,403
8531,67,378
8532,55,382
8533,57,425
8534,61,370
8535,57,399
8536,71,370
8537,55,399
8538,59,482
8539,53,411
8540,57,415
8541,68,421
8542,57,380
8543,65,411
8544,63,429
8545,54,526
8546,57,494
8547,69,380
8548,57,422
8549,56,371
8550,65,360
8551,69,382
8552,55,366
8553,57,569
8554,69,374
8555,65,374
8556,55,439
8557,55,416
8558,61,376
8559,55,384
8560,56,483
8561,53,839
8562,57,405
8563,59,380
8564,63,414
8565,65,364
8566,73,359
8567,57,374
8568,67,547
8569,63,382
8570,68,366
8571,59,380
8572,63,413
8573,61,378
8574,57,358
8575,63,756
8576,65,382
8577,63,415
8578,55,368
8579,61,384
8580,67,362
8581,63,370
8582,57,967
8583,63,366
8584,59,367
8585,67,366
8586,65,362
8587,65,384
8588,69,369
8589,55,516
8590,65,368
8591,69,364
8592,63,373
8593,67,374
8594,63,359
8595,61,370
8596,55,776
8597,67,406
8598,67,484
8599,57,388
8600,55,409
8601,61,437
8602,65,1284
8603,67,372
8604,63,368
8605,57,368
8606,74,360
8607,63,358
8608,65,384
8609,71,829
8610,51,399
8611,55,380
8612,77,366
8613,59,376
8614,56,414
8615,65,376
8616,57,1254
8617,73,376
8618,55,374
8619,69,372
8620,72,412
8621,59,368
8622,63,394
8623,59,415
8624,68,445
8625,61,380
8626,71,374
8627,57,411
8628,56,419
8629,61,441
8630,55,1071
8631,71,426
8632,63,461
8633,59,386
8634,65,439
8635,70,384
8636,63,432
8637,63,886
8638,69,525
8639,89,441
8640,69,415
8641,67,478
8642,63,498
8643,63,420
8644,57,775
8645,57,421
8646,61,413
8647,69,376
8648,59,496
8649,61,425
8650,55,510
8651,57,915
8652,65,441
8653,69,448
8654,59,378
8655,61,598
8656,69,370
8657,61,465
8658,59,581
8659,55,419
8660,69,449
8661,57,455
8662,57,489
8663,63,413
8664,63,1402
8665,63,451
8666,63,423
8667,57,492
8668,63,433
8669,70,439
8670,81,402
8671,57,1083
8672,61,443
8673,61,431
8674,63,421
8675,65,374
8676,53,468
8677,57,1358
8678,57,391
8679,61,425
8680,56,432
8681,65,420
8682,71,411
8683,73,427
8684,67,491
8685,59,407
8686,57,394
8687,67,441
8688,61,376
8689,84,414
8690,57,423
8691,56,735
8692,57,388
8693,59,382
8694,59,412
8695,54,382
8696,67,398
8697,55,374
8698,67,516
8699,67,398
8700,57,439
8701,77,382
8702,56,463
8703,65,431
8704,65,372
8705,54,1035
8706,67,423
8707,69,392
8708,55,437
8709,69,385
8710,65,420
8711,57,445
8712,54,617
8713,69,894
8714,89,416
8715,57,421
8716,57,449
8717,69,438
8718,76,469
8719,57,408
8720,59,384
8721,53,531
8722,59,417
8723,65,405
8724,55,370
8725,57,366
8726,75,380
8727,57,380
8728,53,494
8729,65,382
8730,57,414
8731,65,372
8732,61,390
8733,57,799
8734,59,390
8735,57,411
8736,61,467
8737,57,470
8738,57,477
8739,69,370
8740,61,660
8741,69,376
8742,54,424
8743,59,436
8744,67,427
8745,69,414
8746,67,467
8747,83,1006
8748,59,452
8749,57,386
8750,55,451
8751,59,459
8752,73,378
8753,57,1364
8754,57,413
8755,90,376
8756,63,410
8757,61,975
8758,61,461
8759,63,508
8760,60,402
8761,69,18615
8762,61,433
8763,63,431
8764,73,427
8765,61,530
8766,63,431
8767,63,417
8768,61,470
8769,65,441
8770,61,494
8771,65,460
8772,63,433
8773,65,518
8774,65,449
8775,61,401
8776,61,386
8777,75,388
8778,71,447
8779,71,561
8780,63,443
8781,59,433
8782,75,431
8783,57,419
8784,67,429
8785,59,374
8786,69,392
8787,57,391
8788,57,463
8789,65,392
8790,65,388
8791,61,400
8792,67,376
8793,61,386
8794,63,384
8795,69,427
8796,71,419
8797,86,417
8798,61,425
8799,72,494
8800,77,382
8801,69,429
8802,77,421
8803,73,433
8804,65,429
8805,76,498
8806,57,532
8807,76,415
8808,61,422
8809,69,975
8810,73,417
8811,65,406
8812,57,378
8813,81,376
8814,75,425
8815,61,390
8816,71,1191
8817,57,400
8818,63,394
8819,75,435
8820,67,386
8821,71,380
8822,71,374
8823,78,986
8824,61,380
8825,67,469
8826,77,414
8827,69,380
8828,69,435
8829,75,402
8830,61,782
8831,65,410
8832,75,459
8833,77,484
8834,74,382
8835,75,388
8836,67,403
8837,73,685
8838,71,388
8839,93,386
8840,83,386
8841,63,447
8842,78,386
8843,65,425
8844,67,522
8845,67,380
8846,63,394
8847,61,445
8848,75,421
8849,69,429
8850,57,1286
8851,73,435
8852,67,640
8853,75,431
8854,76,431
8855,72,435
8856,90,750
8857,71,447
8858,67,433
8859,67,549
8860,65,512
8861,63,417
8862,73,479
8863,59,681
8864,71,496
8865,69,441
8866,71,427
8867,71,401
8868,70,492
8869,79,1435
8870,69,384
8871,75,423
8872,65,412
8873,73,441
8874,61,424
8875,71,372
8876,63,1062
8877,61,453
8878,79,425
8879,73,492
8880,67,420
8881,69,431
8882,75,1311
8883,71,386
8884,69,412
8885,60,384
8886,71,394
8887,75,370
8888,73,384
8889,61,396
8890,73,388
8891,69,393
8892,89,386
8893,71,378
8894,65,378
8895,77,997
8896,65,577
8897,73,418
8898,61,376
8899,59,386
8900,63,453
8901,57,413
8902,63,758
8903,69,394
8904,112,376
8905,70,425
8906,67,443
8907,65,504
8908,81,969
8909,63,1226
8910,57,411
8911,69,399
8912,60,447
8913,67,421
8914,107,413
8915,63,418
8916,59,461
8917,61,419
8918,67,402
8919,57,390
8920,60,500
8921,61,398
8922,65,445
8923,61,476
8924,69,457
8925,71,467
8926,80,417
8927,63,441
8928,65,382
8929,81,402
8930,65,419
8931,65,407
8932,74,423
8933,73,412
8934,57,447
8935,59,1264
8936,76,1041
8937,103,445
8938,69,422
8939,73,423
8940,71,382
8941,63,466
8942,63,447
8943,69,392
8944,63,714
8945,61,480
8946,63,422
8947,61,384
8948,59,405
8949,61,483
8950,73,380
8951,75,730
8952,61,400
8953,73,413
8954,63,429
8955,75,456
8956,65,425
8957,73,1146
8958,61,421
8959,67,396
8960,65,478
8961,67,386
8962,61,447
8963,59,474
8964,65,1144
8965,61,429
8966,65,431
8967,67,470
8968,77,441
8969,72,427
8970,63,533
8971,68,945
8972,65,427
8973,71,382
8974,67,519
8975,61,496
8976,59,384
8977,67,394
8978,68,1181
8979,59,405
8980,61,496
8981,61,441
8982,65,490
8983,73,478
8984,65,400
8985,69,1348
8986,63,422
8987,63,426
8988,63,488
8989,71,394
8990,68,486
8991,100,394
8992,63,1089
8993,83,416
8994,110,425
8995,78,494
8996,65,447
8997,63,390
8998,71,1343
8999,63,458
9000,103,431
9001,69,459
9002,67,490
9003,69,498
9004,73,1294
9005,63,427
9006,63,428
9007,75,468
9008,65,472
9009,73,424
9010,73,1094
9011,69,424
9012,69,415
9013,67,418
9014,63,482
9015,73,583
9016,69,945
9017,82,441
9018,63,465
9019,67,374
9020,63,435
9021,69,429
9022,61,479
9023,63,771
9024,61,382
9025,75,457
9026,63,443
9027,63,447
9028,81,471
9029,65,1330
9030,69,419
9031,67,421
9032,76,484
9033,97,417
9034,106,386
9035,59,1008
9036,69,456
9037,71,492
9038,72,449
9039,68,457
9040,59,457
9041,103,410
9042,59,520
9043,70,400
9044,59,427
9045,59,429
9046,61,376
9047,67,418
9048,71,423
9049,59,1091
9050,77,447
9051,69,474
9052,73,467
9053,61,451
9054,71,384
9055,71,1169
9056,75,443
9057,75,455
9058,59,464
9059,61,441
9060,67,468
9061,57,398
9062,55,801
9063,61,451
9064,61,488
9065,67,423
9066,75,387
9067,72,382
9068,69,437
9069,63,783
9070,59,425
9071,59,433
9072,73,417
9073,67,433
9074,75,372
9075,67,441
9076,57,663
9077,61,427
9078,79,445
9079,63,417
9080,57,486
9081,61,502
9082,59,486
9083,59,1152
9084,63,532
9085,69,402
9086,67,410
9087,76,372
9088,61,368
9089,65,432
9090,63,504
9091,71,433
9092,65,427
9093,75,386
9094,71,390
9095,66,397
9096,72,384
9097,67,380
9098,73,928
9099,69,415
9100,88,396
9101,69,441
9102,65,464
9103,65,398
9104,69,437
9105,59,437
9106,61,571
9107,57,464
9108,61,405
9109,61,441
9110,75,1064
9111,73,451
9112,59,467
9113,75,472
9114,66,500
9115,71,441
9116,65,435
9117,59,730
9118,69,411
9119,63,459
9120,77,502
9121,73,583
9122,61,482
9123,57,456
9124,59,3378
9125,59,453
9126,61,394
9127,67,372
9128,72,441
9129,67,1164
9130,61,437
9131,59,484
9132,61,445
9133,61,492
9134,57,429
9135,67,480
9136,67,1267
9137,69,433
9138,63,384
9139,61,467
9140,61,384
9141,59,451
9142,69,384
9143,79,1140
9144,59,426
9145,63,504
9146,77,422
9147,59,441
9148,59,433
9149,63,433
9150,73,1180
9151,57,443
9152,61,427
9153,61,439
9154,65,391
9155,59,479
9156,65,423
9157,67,1301
9158,57,426
9159,59,455
9160,63,514
9161,63,431
9162,73,488
9163,57,451
9164,74,1360
9165,77,386
9166,57,404
9167,63,437
9168,59,390
9169,65,451
9170,65,400
9171,61,389
9172,57,488
9173,59,461
9174,65,370
9175,57,384
9176,61,400
9177,61,423
9178,72,624
9179,65,971
9180,77,470
9181,75,386
9182,75,425
9183,71,466
9184,73,416
9185,75,1126
9186,69,439
9187,78,417
9188,73,376
9189,73,423
9190,67,424
9191,63,960
9192,57,426
9193,65,397
9194,57,392
9195,75,429
9196,63,495
9197,61,416
9198,57,977
9199,70,467
9200,63,427
9201,61,387
9202,71,416
9203,77,421
9204,75,1298
9205,75,398
9206,69,382
9207,77,425
9208,65,421
9209,63,421
9210,71,412
9211,61,435
9212,63,463
9213,73,376
9214,69,372
9215,61,441
9216,71,413
9217,81,1449
9218,66,435
9219,71,443
9220,81,402
9221,69,420
9222,61,425
9223,75,1005
9224,69,437
9225,71,425
9226,77,433
9227,65,393
9228,73,418
9229,71,1104
9230,75,426
9231,78,378
9232,71,378
9233,65,386
9234,63,478
9235,77,817
9236,71,500
9237,71,420
9238,71,415
9239,65,382
9240,65,423
9241,59,478
9242,63,561
9243,61,459
